code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
256k,repo,README.md,1,1,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/filter/ngx_http_brotli_filter_module.c#L768
2k,repo,README.md,1,1,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/filter/ngx_http_brotli_filter_module.c#L768
2m,repo,README.md,1,1,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/filter/ngx_http_brotli_filter_module.c#L768
32k,repo,README.md,1,1,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/filter/ngx_http_brotli_filter_module.c#L768
4k,repo,README.md,1,1,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/filter/ngx_http_brotli_filter_module.c#L768
4m,repo,README.md,1,1,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/filter/ngx_http_brotli_filter_module.c#L768
512k,repo,README.md,1,1,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/filter/ngx_http_brotli_filter_module.c#L768
6,repo,README.md,4,4,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/filter/ngx_http_brotli_filter_module.c#L728
64k,repo,README.md,1,1,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/filter/ngx_http_brotli_filter_module.c#L768
8k,repo,README.md,1,1,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/filter/ngx_http_brotli_filter_module.c#L768
8m,repo,README.md,1,1,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/filter/ngx_http_brotli_filter_module.c#L769
ADVISED,repo,README.md,4,4,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L22
AND,repo,README.md,16,16,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L13
ANY,repo,README.md,16,16,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L14
ARE,repo,README.md,4,4,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L16
ARISING,repo,README.md,4,4,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L21
AS,repo,README.md,4,4,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L13
AUTHOR,repo,README.md,8,8,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L13
BE,repo,README.md,4,4,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L16
BUSINESS,repo,README.md,4,4,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L19
BUT,repo,README.md,8,8,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L14
BY,repo,README.md,4,4,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L13
CAUSED,repo,README.md,4,4,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L20
CONSEQUENTIAL,repo,README.md,4,4,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L17
CONTRACT,repo,README.md,4,4,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L20
CONTRIBUTORS,repo,README.md,8,8,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L13
DAMAGE,repo,README.md,4,4,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L23
DAMAGES,repo,README.md,4,4,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L18
DATA,repo,README.md,4,4,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L19
DIRECT,repo,README.md,4,4,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L17
DISCLAIMED,repo,README.md,4,4,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L16
EVEN,repo,README.md,4,4,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L22
EVENT,repo,README.md,4,4,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L16
EXEMPLARY,repo,README.md,4,4,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L17
EXPRESS,repo,README.md,4,4,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L14
FITNESS,repo,README.md,4,4,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L15
FOR,repo,README.md,8,8,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L15
GOODS,repo,README.md,4,4,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L18
HOWEVER,repo,README.md,4,4,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L20
IF,repo,README.md,4,4,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L22
IMPLIED,repo,README.md,8,8,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L14
IN,repo,README.md,12,12,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L16
INCIDENTAL,repo,README.md,4,4,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L17
INCLUDING,repo,README.md,12,12,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L14
INDIRECT,repo,README.md,4,4,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L17
INTERRUPTION,repo,README.md,4,4,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L19
IS,repo,README.md,8,8,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L13
LIABILITY,repo,README.md,8,8,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L20
LIABLE,repo,README.md,4,4,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L16
LIMITED,repo,README.md,8,8,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L14
LOSS,repo,README.md,4,4,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L19
MERCHANTABILITY,repo,README.md,4,4,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L15
MIME,repo,README.md,2,2,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/filter/ngx_http_brotli_filter_module.c#L27
NEGLIGENCE,repo,README.md,4,4,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L21
NO,repo,README.md,4,4,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,6e975bcb015f62e1f303054897783355e2a877dc,1651234201,25f86f0bac1101b6512135eac5f93c49c63609e3,1587639331,https://github.com/google/ngx_brotli/blob/25f86f0bac1101b6512135eac5f93c49c63609e3/README.md,https://github.com/google/ngx_brotli/blob/6e975bcb015f62e1f303054897783355e2a877dc/static/config#L16
