code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
ANY,repo,README.md,2,2,cdf537135aedd920f6b16363bee940ef149d23d9,1589224583,cdf537135aedd920f6b16363bee940ef149d23d9,1589224583,cdf537135aedd920f6b16363bee940ef149d23d9,1589224583,https://github.com/google/HardwarePrototypingToolkit/blob/cdf537135aedd920f6b16363bee940ef149d23d9/README.md,https://github.com/google/HardwarePrototypingToolkit/blob/cdf537135aedd920f6b16363bee940ef149d23d9/LICENSE#L147
AS,repo,README.md,2,2,cdf537135aedd920f6b16363bee940ef149d23d9,1589224583,cdf537135aedd920f6b16363bee940ef149d23d9,1589224583,cdf537135aedd920f6b16363bee940ef149d23d9,1589224583,https://github.com/google/HardwarePrototypingToolkit/blob/cdf537135aedd920f6b16363bee940ef149d23d9/README.md,https://github.com/google/HardwarePrototypingToolkit/blob/cdf537135aedd920f6b16363bee940ef149d23d9/LICENSE#L146
BASIS,repo,README.md,2,2,cdf537135aedd920f6b16363bee940ef149d23d9,1589224583,cdf537135aedd920f6b16363bee940ef149d23d9,1589224583,cdf537135aedd920f6b16363bee940ef149d23d9,1589224583,https://github.com/google/HardwarePrototypingToolkit/blob/cdf537135aedd920f6b16363bee940ef149d23d9/README.md,https://github.com/google/HardwarePrototypingToolkit/blob/cdf537135aedd920f6b16363bee940ef149d23d9/LICENSE#L146
CONDITIONS,repo,README.md,4,4,cdf537135aedd920f6b16363bee940ef149d23d9,1589224583,cdf537135aedd920f6b16363bee940ef149d23d9,1589224583,cdf537135aedd920f6b16363bee940ef149d23d9,1589224583,https://github.com/google/HardwarePrototypingToolkit/blob/cdf537135aedd920f6b16363bee940ef149d23d9/README.md,https://github.com/google/HardwarePrototypingToolkit/blob/cdf537135aedd920f6b16363bee940ef149d23d9/LICENSE#L6
GitHub,repo,README.md,2,2,cdf537135aedd920f6b16363bee940ef149d23d9,1589224583,cdf537135aedd920f6b16363bee940ef149d23d9,1589224583,cdf537135aedd920f6b16363bee940ef149d23d9,1589224583,https://github.com/google/HardwarePrototypingToolkit/blob/cdf537135aedd920f6b16363bee940ef149d23d9/README.md,https://github.com/google/HardwarePrototypingToolkit/blob/cdf537135aedd920f6b16363bee940ef149d23d9/docs/contributing.md#L21
IS,repo,README.md,2,2,cdf537135aedd920f6b16363bee940ef149d23d9,1589224583,cdf537135aedd920f6b16363bee940ef149d23d9,1589224583,cdf537135aedd920f6b16363bee940ef149d23d9,1589224583,https://github.com/google/HardwarePrototypingToolkit/blob/cdf537135aedd920f6b16363bee940ef149d23d9/README.md,https://github.com/google/HardwarePrototypingToolkit/blob/cdf537135aedd920f6b16363bee940ef149d23d9/LICENSE#L146
KIND,repo,README.md,2,2,cdf537135aedd920f6b16363bee940ef149d23d9,1589224583,cdf537135aedd920f6b16363bee940ef149d23d9,1589224583,cdf537135aedd920f6b16363bee940ef149d23d9,1589224583,https://github.com/google/HardwarePrototypingToolkit/blob/cdf537135aedd920f6b16363bee940ef149d23d9/README.md,https://github.com/google/HardwarePrototypingToolkit/blob/cdf537135aedd920f6b16363bee940ef149d23d9/LICENSE#L147
LICENSE,repo,README.md,2,2,cdf537135aedd920f6b16363bee940ef149d23d9,1589224583,cdf537135aedd920f6b16363bee940ef149d23d9,1589224583,cdf537135aedd920f6b16363bee940ef149d23d9,1589224583,https://github.com/google/HardwarePrototypingToolkit/blob/cdf537135aedd920f6b16363bee940ef149d23d9/README.md,https://github.com/google/HardwarePrototypingToolkit/blob/cdf537135aedd920f6b16363bee940ef149d23d9/LICENSE#L196
OF,repo,README.md,3,3,cdf537135aedd920f6b16363bee940ef149d23d9,1589224583,cdf537135aedd920f6b16363bee940ef149d23d9,1589224583,cdf537135aedd920f6b16363bee940ef149d23d9,1589224583,https://github.com/google/HardwarePrototypingToolkit/blob/cdf537135aedd920f6b16363bee940ef149d23d9/README.md,https://github.com/google/HardwarePrototypingToolkit/blob/cdf537135aedd920f6b16363bee940ef149d23d9/LICENSE#L147
OR,repo,README.md,2,2,cdf537135aedd920f6b16363bee940ef149d23d9,1589224583,cdf537135aedd920f6b16363bee940ef149d23d9,1589224583,cdf537135aedd920f6b16363bee940ef149d23d9,1589224583,https://github.com/google/HardwarePrototypingToolkit/blob/cdf537135aedd920f6b16363bee940ef149d23d9/README.md,https://github.com/google/HardwarePrototypingToolkit/blob/cdf537135aedd920f6b16363bee940ef149d23d9/LICENSE#L147
WARRANTIES,repo,README.md,2,2,cdf537135aedd920f6b16363bee940ef149d23d9,1589224583,cdf537135aedd920f6b16363bee940ef149d23d9,1589224583,cdf537135aedd920f6b16363bee940ef149d23d9,1589224583,https://github.com/google/HardwarePrototypingToolkit/blob/cdf537135aedd920f6b16363bee940ef149d23d9/README.md,https://github.com/google/HardwarePrototypingToolkit/blob/cdf537135aedd920f6b16363bee940ef149d23d9/LICENSE#L147
WITHOUT,repo,README.md,2,2,cdf537135aedd920f6b16363bee940ef149d23d9,1589224583,cdf537135aedd920f6b16363bee940ef149d23d9,1589224583,cdf537135aedd920f6b16363bee940ef149d23d9,1589224583,https://github.com/google/HardwarePrototypingToolkit/blob/cdf537135aedd920f6b16363bee940ef149d23d9/README.md,https://github.com/google/HardwarePrototypingToolkit/blob/cdf537135aedd920f6b16363bee940ef149d23d9/LICENSE#L147
