code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
--dump-play,repo,README.md,2,2,27711d71892c9a9fab149d76ce3dd897694952c1,1557199804,3f8a8966c54d13d2658c77c03793a9a98a283e22,1557740942,27711d71892c9a9fab149d76ce3dd897694952c1,1557199804,https://github.com/google/neural-logic-machines/blob/27711d71892c9a9fab149d76ce3dd897694952c1/README.md,https://github.com/google/neural-logic-machines/blob/3f8a8966c54d13d2658c77c03793a9a98a283e22/scripts/graph/learn_policy.py#L200
FILE,repo,README.md,3,3,27711d71892c9a9fab149d76ce3dd897694952c1,1557199804,3f8a8966c54d13d2658c77c03793a9a98a283e22,1557740942,27711d71892c9a9fab149d76ce3dd897694952c1,1557199804,https://github.com/google/neural-logic-machines/blob/27711d71892c9a9fab149d76ce3dd897694952c1/README.md,https://github.com/google/neural-logic-machines/blob/3f8a8966c54d13d2658c77c03793a9a98a283e22/scripts/graph/learn_policy.py#L208
N,repo,README.md,94,94,27711d71892c9a9fab149d76ce3dd897694952c1,1557199804,3f8a8966c54d13d2658c77c03793a9a98a283e22,1557740942,27711d71892c9a9fab149d76ce3dd897694952c1,1557199804,https://github.com/google/neural-logic-machines/blob/27711d71892c9a9fab149d76ce3dd897694952c1/README.md,https://github.com/google/neural-logic-machines/blob/3f8a8966c54d13d2658c77c03793a9a98a283e22/third_party/js_lib/d3.v4.js#L4454
NLM,repo,README.md,4,4,27711d71892c9a9fab149d76ce3dd897694952c1,1557199804,3f8a8966c54d13d2658c77c03793a9a98a283e22,1557740942,27711d71892c9a9fab149d76ce3dd897694952c1,1557199804,https://github.com/google/neural-logic-machines/blob/27711d71892c9a9fab149d76ce3dd897694952c1/README.md,https://github.com/google/neural-logic-machines/blob/3f8a8966c54d13d2658c77c03793a9a98a283e22/scripts/graph/learn_policy.py#L55
PyTorch,repo,README.md,2,2,27711d71892c9a9fab149d76ce3dd897694952c1,1557199804,3f8a8966c54d13d2658c77c03793a9a98a283e22,1557740942,27711d71892c9a9fab149d76ce3dd897694952c1,1557199804,https://github.com/google/neural-logic-machines/blob/27711d71892c9a9fab149d76ce3dd897694952c1/README.md,https://github.com/google/neural-logic-machines/blob/3f8a8966c54d13d2658c77c03793a9a98a283e22/difflogic/thutils.py#L16
learn_graph_tasks,repo,README.md,13,13,27711d71892c9a9fab149d76ce3dd897694952c1,1557199804,3f8a8966c54d13d2658c77c03793a9a98a283e22,1557740942,27711d71892c9a9fab149d76ce3dd897694952c1,1557199804,https://github.com/google/neural-logic-machines/blob/27711d71892c9a9fab149d76ce3dd897694952c1/README.md,https://github.com/google/neural-logic-machines/blob/3f8a8966c54d13d2658c77c03793a9a98a283e22/scripts/graph/README.md#L10
learn_policy,repo,README.md,7,7,27711d71892c9a9fab149d76ce3dd897694952c1,1557199804,3f8a8966c54d13d2658c77c03793a9a98a283e22,1557740942,27711d71892c9a9fab149d76ce3dd897694952c1,1557199804,https://github.com/google/neural-logic-machines/blob/27711d71892c9a9fab149d76ce3dd897694952c1/README.md,https://github.com/google/neural-logic-machines/blob/3f8a8966c54d13d2658c77c03793a9a98a283e22/scripts/graph/README.md#L54
memnet,repo,README.md,21,21,27711d71892c9a9fab149d76ce3dd897694952c1,1557199804,3f8a8966c54d13d2658c77c03793a9a98a283e22,1557740942,27711d71892c9a9fab149d76ce3dd897694952c1,1557199804,https://github.com/google/neural-logic-machines/blob/27711d71892c9a9fab149d76ce3dd897694952c1/README.md,https://github.com/google/neural-logic-machines/blob/3f8a8966c54d13d2658c77c03793a9a98a283e22/scripts/graph/learn_policy.py#L52
nlm,repo,README.md,39,39,27711d71892c9a9fab149d76ce3dd897694952c1,1557199804,3f8a8966c54d13d2658c77c03793a9a98a283e22,1557740942,27711d71892c9a9fab149d76ce3dd897694952c1,1557199804,https://github.com/google/neural-logic-machines/blob/27711d71892c9a9fab149d76ce3dd897694952c1/README.md,https://github.com/google/neural-logic-machines/blob/3f8a8966c54d13d2658c77c03793a9a98a283e22/scripts/graph/learn_policy.py#L51
requirements.txt,repo,README.md,1,1,27711d71892c9a9fab149d76ce3dd897694952c1,1557199804,3f8a8966c54d13d2658c77c03793a9a98a283e22,1557740942,27711d71892c9a9fab149d76ce3dd897694952c1,1557199804,https://github.com/google/neural-logic-machines/blob/27711d71892c9a9fab149d76ce3dd897694952c1/README.md,code_element is a file name
third_party,repo,README.md,2,8,27711d71892c9a9fab149d76ce3dd897694952c1,1557199804,3f8a8966c54d13d2658c77c03793a9a98a283e22,1557740942,27711d71892c9a9fab149d76ce3dd897694952c1,1557199804,https://github.com/google/neural-logic-machines/blob/27711d71892c9a9fab149d76ce3dd897694952c1/README.md,https://github.com/google/neural-logic-machines/blob/3f8a8966c54d13d2658c77c03793a9a98a283e22/vis/sort.html#L104
