code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
--track_id,repo,README.md,6,6,7dab8f9e156fa35735301695ea020aee7221fb31,1630439444,79177ef5941b15b0aa2395b626f922fcb7b4c179,1644248383,7dab8f9e156fa35735301695ea020aee7221fb31,1630439444,https://github.com/google/dynamic-video-depth/blob/7dab8f9e156fa35735301695ea020aee7221fb31/README.md,https://github.com/google/dynamic-video-depth/blob/79177ef5941b15b0aa2395b626f922fcb7b4c179/experiments/shutterstock/train_sequence.sh#L27
./datafiles,repo,README.md,17,17,7dab8f9e156fa35735301695ea020aee7221fb31,1630439444,79177ef5941b15b0aa2395b626f922fcb7b4c179,1644248383,7dab8f9e156fa35735301695ea020aee7221fb31,1630439444,https://github.com/google/dynamic-video-depth/blob/7dab8f9e156fa35735301695ea020aee7221fb31/README.md,https://github.com/google/dynamic-video-depth/blob/79177ef5941b15b0aa2395b626f922fcb7b4c179/scripts/preprocess/shutterstock/generate_sequence_midas.py#L25
./datafiles/shutterstock/images,repo,README.md,1,1,7dab8f9e156fa35735301695ea020aee7221fb31,1630439444,79177ef5941b15b0aa2395b626f922fcb7b4c179,1644248383,7dab8f9e156fa35735301695ea020aee7221fb31,1630439444,https://github.com/google/dynamic-video-depth/blob/7dab8f9e156fa35735301695ea020aee7221fb31/README.md,https://github.com/google/dynamic-video-depth/blob/79177ef5941b15b0aa2395b626f922fcb7b4c179/scripts/preprocess/shutterstock/generate_frame_midas.py#L35
./datafiles/shutterstock/triangulation,repo,README.md,1,1,7dab8f9e156fa35735301695ea020aee7221fb31,1630439444,79177ef5941b15b0aa2395b626f922fcb7b4c179,1644248383,7dab8f9e156fa35735301695ea020aee7221fb31,1630439444,https://github.com/google/dynamic-video-depth/blob/7dab8f9e156fa35735301695ea020aee7221fb31/README.md,https://github.com/google/dynamic-video-depth/blob/79177ef5941b15b0aa2395b626f922fcb7b4c179/scripts/preprocess/shutterstock/generate_frame_midas.py#L34
1U07e9xtwYbBZPpJ2vfsLaXYMWATt4XyB,repo,README.md,1,1,7dab8f9e156fa35735301695ea020aee7221fb31,1630439444,79177ef5941b15b0aa2395b626f922fcb7b4c179,1644248383,7dab8f9e156fa35735301695ea020aee7221fb31,1630439444,https://github.com/google/dynamic-video-depth/blob/7dab8f9e156fa35735301695ea020aee7221fb31/README.md,https://github.com/google/dynamic-video-depth/blob/79177ef5941b15b0aa2395b626f922fcb7b4c179/scripts/download_triangulation_files.sh#L2
1om58tVKujaq1Jo_ShpKc4sWVAWBoKY6U,repo,README.md,1,1,7dab8f9e156fa35735301695ea020aee7221fb31,1630439444,79177ef5941b15b0aa2395b626f922fcb7b4c179,1644248383,7dab8f9e156fa35735301695ea020aee7221fb31,1630439444,https://github.com/google/dynamic-video-depth/blob/7dab8f9e156fa35735301695ea020aee7221fb31/README.md,https://github.com/google/dynamic-video-depth/blob/79177ef5941b15b0aa2395b626f922fcb7b4c179/scripts/download_triangulation_files.sh#L6
3D,repo,README.md,1,1,7dab8f9e156fa35735301695ea020aee7221fb31,1630439444,79177ef5941b15b0aa2395b626f922fcb7b4c179,1644248383,7dab8f9e156fa35735301695ea020aee7221fb31,1630439444,https://github.com/google/dynamic-video-depth/blob/7dab8f9e156fa35735301695ea020aee7221fb31/README.md,https://github.com/google/dynamic-video-depth/blob/79177ef5941b15b0aa2395b626f922fcb7b4c179/util/util_flow.py#L39
DAVIS,repo,README.md,4,4,7dab8f9e156fa35735301695ea020aee7221fb31,1630439444,79177ef5941b15b0aa2395b626f922fcb7b4c179,1644248383,7dab8f9e156fa35735301695ea020aee7221fb31,1630439444,https://github.com/google/dynamic-video-depth/blob/7dab8f9e156fa35735301695ea020aee7221fb31/README.md,https://github.com/google/dynamic-video-depth/blob/79177ef5941b15b0aa2395b626f922fcb7b4c179/scripts/preprocess/davis/generate_frame_midas.py#L35
GPU,repo,README.md,6,6,7dab8f9e156fa35735301695ea020aee7221fb31,1630439444,79177ef5941b15b0aa2395b626f922fcb7b4c179,1644248383,7dab8f9e156fa35735301695ea020aee7221fb31,1630439444,https://github.com/google/dynamic-video-depth/blob/7dab8f9e156fa35735301695ea020aee7221fb31/README.md,https://github.com/google/dynamic-video-depth/blob/79177ef5941b15b0aa2395b626f922fcb7b4c179/util/util_loadlib.py#L58
RAFT,repo,README.md,14,14,7dab8f9e156fa35735301695ea020aee7221fb31,1630439444,79177ef5941b15b0aa2395b626f922fcb7b4c179,1644248383,7dab8f9e156fa35735301695ea020aee7221fb31,1630439444,https://github.com/google/dynamic-video-depth/blob/7dab8f9e156fa35735301695ea020aee7221fb31/README.md,https://github.com/google/dynamic-video-depth/blob/79177ef5941b15b0aa2395b626f922fcb7b4c179/scripts/preprocess/shutterstock/generate_flows.py#L19
