code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
127.0.0.1,repo,README.md,13,14,e6c360ac77339741e6751cefcfe50175c3966689,1648156491,38f015a3b9ee6ec9f6f018cdade42a6d537e82ef,1648746722,e6c360ac77339741e6751cefcfe50175c3966689,1648156491,https://github.com/google/tsunami-security-scanner-callback-server/blob/e6c360ac77339741e6751cefcfe50175c3966689/README.md,https://github.com/google/tsunami-security-scanner-callback-server/blob/38f015a3b9ee6ec9f6f018cdade42a6d537e82ef/tcs_config.yaml#L3
ANY,repo,README.md,66,68,e6c360ac77339741e6751cefcfe50175c3966689,1648156491,38f015a3b9ee6ec9f6f018cdade42a6d537e82ef,1648746722,e6c360ac77339741e6751cefcfe50175c3966689,1648156491,https://github.com/google/tsunami-security-scanner-callback-server/blob/e6c360ac77339741e6751cefcfe50175c3966689/README.md,https://github.com/google/tsunami-security-scanner-callback-server/blob/38f015a3b9ee6ec9f6f018cdade42a6d537e82ef/storage/src/test/java/com/google/tsunami/callbackserver/storage/RedisInteractionStoreTest.java#L12
AS,repo,README.md,66,68,e6c360ac77339741e6751cefcfe50175c3966689,1648156491,38f015a3b9ee6ec9f6f018cdade42a6d537e82ef,1648746722,e6c360ac77339741e6751cefcfe50175c3966689,1648156491,https://github.com/google/tsunami-security-scanner-callback-server/blob/e6c360ac77339741e6751cefcfe50175c3966689/README.md,https://github.com/google/tsunami-security-scanner-callback-server/blob/38f015a3b9ee6ec9f6f018cdade42a6d537e82ef/storage/src/test/java/com/google/tsunami/callbackserver/storage/RedisInteractionStoreTest.java#L11
BASIS,repo,README.md,66,68,e6c360ac77339741e6751cefcfe50175c3966689,1648156491,38f015a3b9ee6ec9f6f018cdade42a6d537e82ef,1648746722,e6c360ac77339741e6751cefcfe50175c3966689,1648156491,https://github.com/google/tsunami-security-scanner-callback-server/blob/e6c360ac77339741e6751cefcfe50175c3966689/README.md,https://github.com/google/tsunami-security-scanner-callback-server/blob/38f015a3b9ee6ec9f6f018cdade42a6d537e82ef/storage/src/test/java/com/google/tsunami/callbackserver/storage/RedisInteractionStoreTest.java#L11
CONDITIONS,repo,README.md,68,70,e6c360ac77339741e6751cefcfe50175c3966689,1648156491,38f015a3b9ee6ec9f6f018cdade42a6d537e82ef,1648746722,e6c360ac77339741e6751cefcfe50175c3966689,1648156491,https://github.com/google/tsunami-security-scanner-callback-server/blob/e6c360ac77339741e6751cefcfe50175c3966689/README.md,https://github.com/google/tsunami-security-scanner-callback-server/blob/38f015a3b9ee6ec9f6f018cdade42a6d537e82ef/storage/src/test/java/com/google/tsunami/callbackserver/storage/RedisInteractionStoreTest.java#L12
DNS,repo,README.md,16,16,e6c360ac77339741e6751cefcfe50175c3966689,1648156491,38f015a3b9ee6ec9f6f018cdade42a6d537e82ef,1648746722,e6c360ac77339741e6751cefcfe50175c3966689,1648156491,https://github.com/google/tsunami-security-scanner-callback-server/blob/e6c360ac77339741e6751cefcfe50175c3966689/README.md,https://github.com/google/tsunami-security-scanner-callback-server/blob/38f015a3b9ee6ec9f6f018cdade42a6d537e82ef/server/src/main/java/com/google/tsunami/callbackserver/server/recording/DnsRecordingServer.java#L38
HTTP,repo,README.md,22,22,e6c360ac77339741e6751cefcfe50175c3966689,1648156491,38f015a3b9ee6ec9f6f018cdade42a6d537e82ef,1648746722,e6c360ac77339741e6751cefcfe50175c3966689,1648156491,https://github.com/google/tsunami-security-scanner-callback-server/blob/e6c360ac77339741e6751cefcfe50175c3966689/README.md,https://github.com/google/tsunami-security-scanner-callback-server/blob/38f015a3b9ee6ec9f6f018cdade42a6d537e82ef/server/src/main/java/com/google/tsunami/callbackserver/server/recording/HttpRecordingServer.java#L37
IS,repo,README.md,66,68,e6c360ac77339741e6751cefcfe50175c3966689,1648156491,38f015a3b9ee6ec9f6f018cdade42a6d537e82ef,1648746722,e6c360ac77339741e6751cefcfe50175c3966689,1648156491,https://github.com/google/tsunami-security-scanner-callback-server/blob/e6c360ac77339741e6751cefcfe50175c3966689/README.md,https://github.com/google/tsunami-security-scanner-callback-server/blob/38f015a3b9ee6ec9f6f018cdade42a6d537e82ef/storage/src/test/java/com/google/tsunami/callbackserver/storage/RedisInteractionStoreTest.java#L11
KIND,repo,README.md,66,68,e6c360ac77339741e6751cefcfe50175c3966689,1648156491,38f015a3b9ee6ec9f6f018cdade42a6d537e82ef,1648746722,e6c360ac77339741e6751cefcfe50175c3966689,1648156491,https://github.com/google/tsunami-security-scanner-callback-server/blob/e6c360ac77339741e6751cefcfe50175c3966689/README.md,https://github.com/google/tsunami-security-scanner-callback-server/blob/38f015a3b9ee6ec9f6f018cdade42a6d537e82ef/storage/src/test/java/com/google/tsunami/callbackserver/storage/RedisInteractionStoreTest.java#L12
LICENSE,repo,README.md,66,68,e6c360ac77339741e6751cefcfe50175c3966689,1648156491,38f015a3b9ee6ec9f6f018cdade42a6d537e82ef,1648746722,e6c360ac77339741e6751cefcfe50175c3966689,1648156491,https://github.com/google/tsunami-security-scanner-callback-server/blob/e6c360ac77339741e6751cefcfe50175c3966689/README.md,https://github.com/google/tsunami-security-scanner-callback-server/blob/38f015a3b9ee6ec9f6f018cdade42a6d537e82ef/storage/src/test/java/com/google/tsunami/callbackserver/storage/RedisInteractionStoreTest.java#L8
